Imatest,4.5.13, , CPIQ Dot Chart Analysis
File,DotPattern_1.PNG
Run date,18-Jul-2017 10:37:10,,Build 2017-02-01

FOV Analysis

Dot Separation, 10.000000, cm,
Target Distance, 100.000000, cm,
HFOV, 88.984253, degrees,
VFOV, 75.001237, degrees,
DFOV, 106.622497, degrees,

Lateral Color Analysis

Image Size in Pixels
Image Height, 1000
Image Width, 1236
Image Radius, 7.949365e+02

Maximum LCA CPIQ Metric, 0.607771
CPIQ Quality Loss, 0.000000
Maximum LCA in Pixels, 0.759714
Number of Dots, 298

Radial Polynomial Coefficients (radius in normalized units), r^3, r^2, r^1, r^0
, 552.178187, 551.530708, 550.491792
, 548.860387, 548.214937, 547.189899
, 717.892721, 717.133403, 715.907813
, 718.485417, 717.726126, 716.500515
, 690.692369, 689.948577, 688.753923
, 691.225883, 690.482096, 689.287434
, 666.009902, 665.273229, 664.115237
, 666.475350, 665.738536, 664.580543
, 644.509882, 643.784894, 642.652748
, 644.897550, 644.172580, 643.040416
, 626.876373, 626.169453, 625.048414
, 627.177151, 626.470239, 625.349209
, 613.714999, 613.014677, 611.910523
, 613.920762, 613.220455, 612.116309
, 605.631131, 604.935968, 603.840297
, 605.735699, 605.040541, 603.944887

Dot Center Coordinates, X Coordinate, Y Coordinate
, -600.671040, -62.765322
, -600.671040, 63.765322
, -598.995865, -125.666049
, -598.995865, 126.666049
, -596.315714, -187.888589
, -596.315714, 188.888589
, -592.614044, -249.161306
, -592.614044, 250.161306
, -588.071999, -309.164438
, -588.071999, 310.164438
, -582.775775, -367.742958
, -582.775775, 368.742958
, -576.822231, -424.737316
, -576.822231, 425.737316
, -546.706294, -63.837782
, -547.214709, 0.500000
, -546.706294, 64.837782
, -545.103169, -127.823404
, -545.103169, 128.823404
, -542.443841, -191.064545
, -542.443841, 192.064545
, -538.888239, -253.234265
, -538.888239, 254.234267
, -534.467892, -314.064698
, -534.467776, 315.064840
, -529.298700, -373.336935
, -529.298700, 374.336935
, -523.503428, -430.885695
, -523.503428, 431.885695
, -490.237769, -64.891097
, -490.742478, 0.500000
, -490.237769, 65.891097
, -488.720564, -129.914535
, -488.720564, 130.914535
, -486.206440, -194.106607
, -486.206440, 195.106607
, -482.804228, -257.171126
, -482.804228, 258.171126
, -478.593113, -318.780781
, -478.593113, 319.780781
, -473.669745, -378.706775
, -473.669745, 379.706775
, -468.179901, -436.786277
, -468.179901, 437.786277
, -431.277913, -65.901740
, -431.744913, 0.500000
, -431.277913, 66.901740
, -429.860558, -131.857636
, -429.860558, 132.857636
, -427.534445, -196.981990
, -427.534445, 197.981990
, -424.370318, -260.870053
, -424.370318, 261.870053
, -420.467595, -323.203924
, -420.467595, 324.203924
, -415.919392, -383.747954
, -415.919392, 384.747954
, -410.841359, -442.318378
, -410.841359, 443.318378
, -369.859946, -66.803086
, -370.295665, 0.500000
, -369.860042, 67.802956
, -368.569116, -133.655343
, -368.569116, 134.655343
, -366.485698, -199.600483
, -366.485698, 200.600483
, -363.644281, -264.251722
, -363.644282, 265.251743
, -360.149411, -327.241428
, -360.149411, 328.241430
, -356.068694, -388.339421
, -356.068694, 389.339421
, -351.520288, -447.355649
, -351.520398, 448.355542
, -306.498393, 0.500000
, -306.119373, -67.625932
, -306.119373, 68.625932
, -305.033374, -135.229178
, -305.033374, 136.229178
, -303.223472, -201.916597
, -303.223472, 202.916597
, -300.768651, -267.209916
, -300.768651, 268.209916
, -297.772740, -330.787540
, -297.772740, 331.787540
, -294.259221, -392.377395
, -294.259221, 393.377395
, -290.360012, -451.777730
, -290.360012, 452.777730
